cite,title,year,venue,paradigm,stage,paper_role,privacy_notion,attack_or_defense,modality,threat_model,assumptions,used_in_figure2,used_in_taxonomy,notes
61,Learning differentially private recurrent language models,2018,ICLR,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,yes,no,
62,Exploiting unintended feature leakage in collaborative learning,2019,IEEE S&P,FL,NA,attack,NA,attack,NA,NA,general,yes,no,
63,Comprehensive privacy analysis of deep learning,2019,IEEE S&P,FL,NA,attack,NA,attack,NA,NA,general,yes,no,
64,idlg: Improved deep leakage from gradients,2020,arXiv,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
65,Quality inference in federated learning with secure aggregation,2020,IEEE Transactions on Big Data,FL,NA,attack,attribute,attack,NA,NA,representation-level signal,yes,no,
66,Ldp-fed: federated learning with local differential privacy,2020,ACM EdgeSys,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,yes,no,
67,Evaluating gradient inversion attacks and defenses in federated learning,2021,NeurIPS,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
68,Gradient inversion with generative image prior,2021,NeurIPS,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
69,Soteria: Provable defense against privacy leakage in federated learning,2021,CVPR,FL,NA,defense,multi,defense,vision,NA,mitigation/evaluation setting,yes,no,
70,Federated f-differential privacy,2021,AISTATS,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,yes,no,
71,See through gradients: Image batch recovery via gradinversion,2021,CVPR,FL,NA,attack,reconstruction,attack,vision,A,artifact visibility sufficient for reconstruction,yes,no,
72,Auditing privacy defenses in federated learning via generative gradient leakage,2022,CVPR,FL,NA,defense,reconstruction,defense,NA,A,artifact visibility sufficient for reconstruction; mitigation/evaluation setting,yes,no,
73,On privacy and personalization in cross-silo federated learning,2022,NeurIPS,FL,NA,attack,attribute;silo_identity,attack,NA,NA,distributional or client-level signatures; representation-level signal,yes,no,
74,Local differential privacy for federated learning,2022,ESORICS,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,yes,no,
75,Recovering private text in federated learning of language models,2022,NeurIPS,FL∩FM,U,attack,reconstruction,attack,text,A,per-round communicated updates; artifact visibility sufficient for reconstruction,yes,yes,intersection paper
76,Effective passive membership inference attacks in federated learning against overparameterized models,2023,ICLR,FL,NA,attack,membership,attack,NA,C,member/non-member distinguishability,yes,no,
77,Active membership inference attack under local differential privacy in federated learning,2023,AISTATS,FL,NA,attack,membership,attack,NA,C,member/non-member distinguishability,yes,no,
78,Securing secure aggregation: Mitigating multi-round privacy leakage in federated learning,2023,AAAI,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,yes,no,
79,Loki: Large-scale data reconstruction attack against federated learning through model manipulation,2024,IEEE S&P,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
